Document type,Title,No.,Topic area , Models and Strategies ,Biological endpoints,Experimental systems,EUProject,Regulatory  information,Supplementary materials (Downloads)
Method summary,Mathematical Models - Summary,0,Percutaneous Absorption,Mathematical Models (in silico),"Dose absorbed
Flux (across skin models)
Permeability coefficient
Systemic availability",,,,
Method summary,Measurement of pH and Acidic or Alkaline Reserve - Summary,0,Eye Irritation,PHYSICO-CHEMICAL ASSAYS,"Acidic/alkaline reserve (test substance)
pH (test substance)",Test Substance in Solution,,,
Method summary,Measurement of trans-epithelial resistance (TER) and trans-epithelial potential (TEP) - Summary,0,Eye Irritation,"Animal Origin
Cell Lines","Cell viability
Cell-cell contact: tight junction integrity",A6 - Xenopus laevis kidney epithelial cell line,,,
Method summary,Microdialysis - Summary,0,Percutaneous Absorption,"PHYSICO-CHEMICAL ASSAYS
Viable Skin Explants",Flux (across skin models),"Reconstituted dermal model
Skin tissues (animal or human origin)",,,
Method summary,Monolayer culture of genetically engineered liver cell lines - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Genetically Engineered Cells
Human Origin","Apoptosis
Cell function: membrane damage
Cell function: mitochondrial membrane potential
Cell morphology
Cell proliferation
Cell viability
Cell-cell contact: gap junction integrity
Cellular functional parameters
DNA damage: strand breakage
Enzyme activity
Gene expression: Cytochrome P450 isoenzymes (CYP450)
Generation of Reactive Oxygen Species (ROS)
Lipid peroxidation
Metabolic competence
Metabolic effects",Genetically engineered cell lines,,,
Method summary,Monolayer culture of liver cell lines - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Human Origin","Apoptosis
Calcium homeostasis perturbation
Cell adhesion
Cell cycle analysis
Cell function: membrane damage
Cell function: mitochondrial activity
Cell function: mitochondrial membrane potential
Cell function: peroxisome proliferation
Cell morphology
Cell proliferation
Cell viability
Cell-cell contact: gap junction integrity
Cellular functional parameters
Chromosomal damage: micronuclei formation
DNA damage: sister chromatid exchange (SCE)
DNA damage: strand breakage
Enzyme inhibition: <span id=""id_met=327-outerCt"">HMG-CoA reductase</span>
Gene expression profiling (omics techniques)
Gene expression: Aryl hydrocarbon receptor (AhR)
Gene expression: Biomarkers
Gene expression: Cytochrome P450 isoenzymes (CYP450)
Gene expression: Glutathion (GSH)
Gene expression: Heat shock proteins
Gene expression: Metallothionein II
Gene mutation
Generation of Reactive Oxygen Species (ROS)
Ion channel function, sodium
Lipid peroxidation
Metabolic competence
Metabolic effects","2sFou - Rat hepatoma cell line
32IIIA clone 6/2d - Rat hepatoma cell line
5L - Rat hepatoma cell line
AH-13 - Rat ascites hepatoma cell line
AH-130 - Rat ascites hepatoma cell line
AH-44 - Rat ascites hepatoma cell line
AH66F - Rat ascites hepatoma cells
AML-12 - Mouse normal liver cell line
BEL-7402 - Human hepatocellular carcinoma cell line
BEL-7404 - Human hepatocellular carcinoma cell line
BP<sup>r</sup>cI - Mouse hepatoma cell line
BRL-3A - Rat liver cells
C-HC-20 - Human hepatoma cell line
C-HC-4 - Human hepatoma cell line
C2.1.2 - Immortalised rat liver cells
C2.8 - Mouse embryo hepatocytic cells
C2Rev7 - Rat hepatoma cell line
C4 - Ah receptor nuclear translocation-defective mutant mouse hepatoma cells
C6 - Mouse embryo hepatocytic cells
CCL 144 - Rat hepatoma cell line
Cell lines derived from fish liver tumors
Cell lines derived from human liver tumors
Cell lines derived from mouse liver tumors
Cell lines derived from normal fish liver
Cell lines derived from normal hamster liver
Cell lines derived from normal human liver
Cell lines derived from normal mouse liver
Cell lines derived from normal rat liver
Cell lines derived from rat liver tumors
Cell lines derived from transgenic mice
CHEL - Chinese hamster epithelial liver cell line
Clone 128 - Mice hepatocytes from newborn 14CoS/14CoS
Clone 20B - Mouse hepatocytes from newborn ch/ch wild-type
Clone 9 - Rat liver cells
CRL-2301 - Rainbow trout liver cell line
Fa2N-4 - Primary human hepatocyte-derived cell line
Fa32 - Rat hepatoma cell line
FaO - Rat hepatoma cell line
FGC-4 - Rat hepatoma cell ine
FLC-5 - Human hepatocellular carcinoma cell line
H-4-II-E - Rat hepatoma cell line
H4-IIE-C3 - Rat hepatoma cell line
H4IIEC3/G<sup>-</sup> - Rat hepatoma cell line
H5 - Rat hepatoma cell line
HAK-1A - Human hepatocellular carcinoma cell line
HAK-1B - Human hepatocellular carcinoma cell line
HBG BC2 - Human hepatoma cell line
HC-04 - Human immortalized hepatocyte cell line
Hep3B - Human hepatoma cell line
Hepa 1-6 - Mouse hepatoma cell line
Hepa 1c1c7 - Mouse hepatoma cell line
HepaRG - Human hepatoma cell line
HepG<sub>2</sub> - Human hepatoma cell line
HepG2/C3A - Clonal derivative of HepG2 human hepatoma cells
HepG2DR - Drug resistant subclone of human hepatoma HepG2 cells
HH<sub>1</sub> - Human hepatoma cell line
HHY41- Human hepatocyte line
HLE - Human hepatoma cell line
HLF - Human hepatoma cell line
HTC - Rat hepatoma cell line
Huh-7 - Human hepatocarcinoma cell line
Human Chang liver epithelial cells
IAR 20 - Rat liver epithelial cells
L-02 - Human hepatic cells
LF - Rat hepatoma cell line
LQC3 - Immortalised rat liver cell ine
LQC6 - Rat liver cells
MH-22a - Mouse hepatoma cell line
MH<sub>1</sub>C<sub>1</sub> - Rat hepatoma cell line
MMH-GH - Mouse immortalized untransformed transgenic hepatocytes
Mz-Hep-1 - Human hepatoma cell line
N1S1 - Novikoff rat hepatoma cell line
NCTC clone 1469 - Mouse liver cells
P9 - Rat liver cells
PLHC-1 - topminnow hepatoma cell line
Reuber H-35 - Rat hepatoma cell line
Reuber H35, subclone KRC-7 - Rat hepatoma cell line
RL-4 - rat liver epithelial cell line
RTH-149 - Rainbow trout hepatoma cell line
RTH1B - Rainbow trout liver tumor cells
RTL-W1 - Rainbow trout liver epithelial cells
SK-HEP-1 - Human hepatoma cell line
SMMC-7721 - Human hepatocellular carcinoma cell line
SNU-475 - Human hepatocellular carcinoma cell line
TAMH - Mice transgenic hepatocytes overexpressing human TGF-alpha
TAOclBP<sup>r</sup>cI - Mouse hepatoma cell line
WRL-68 - Human foetal liver cell line
ZF-L - Zebarafish liver cell line",,,
Method summary,Monolayer culture of primary hepatocytes - Summary,23,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Primary Cell Culture","Apoptosis
Calcium homeostasis perturbation
Cell adhesion
Cell communication
Cell function
Cell function: membrane damage
Cell function: mitochondrial activity
Cell function: peroxisome proliferation
Cell hypertrophy
Cell morphology
Cell proliferation
Cell viability
Cellular functional parameters
Chromosomal damage: micronuclei formation
DNA damage: cross-links
DNA damage: sister chromatid exchange (SCE)
DNA damage: strand breakage
DNA damage: unscheduled synthesis
Enzyme induction: <span id=""id_met=323-outerCt"">cytochrome P450 family</span>
Gene expression: Biomarkers
Gene expression: Estrogen receptor-mediated vitellogenin induction
Gene expression: Heat shock proteins
Gene expression: Metallothionein II
Gene expression: Multidrug resistance protein (MDR)
Gene expression: Pro-inflammatory cytokines (e.g. TNF-alpha, IFN-gamma, IL-6 and IL-12)
Generation of Reactive Oxygen Species (ROS)
Ion transport, active
Lipid peroxidation
Metabolic competence
Metabolic effects
Steatosis","Primary hepatocytes (avian)
Primary hepatocytes (fish)
Primary hepatocytes (mammals)",,,
Method summary,Morphometric and biochemical assays of neurite outgrowth in neuronal cells as in vitro model for axonopathies - Summary,0,Neurotoxicity,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture","Axonal transport
Neurite outgrowth
Neuronal axonal cytoskeleton","Cell line cultures
Explant cultures
Neurons in culture",,,
Method summary,Mouse embryonic tooth explants culture - Summary,0,Developmental toxicity,"Animal Origin
EMBRYO CULTURE
Primary Cell Culture","Apoptosis
Cell morphology
Cell viability
Gene expression profiling (omics techniques)
Gene expression profiling (omics techniques)",Embryonic tooth explants cultures,,,
Method summary,MTT Assay - Summary,17,Eye Irritation,"Animal Origin
Cell Lines
Corneal Models
Human Origin
Primary Cell Culture
Reconstituted Dermal Models","Cell function: mitochondrial activity
Cell viability
Vital dye reduction: MTT to formazan","3T3 - Mouse fibroblasts
Corneal epithelial cells (rabbit)
D3 - Mouse embryonic stem cells
EpiOcular<sup><span class=""text_small"">TM</span></sup>
HeLa - Human cervix carcinoma cell line
Primary hepatocytes (mammals)
Reconstituted corneal model
Reconstituted dermal model
SIRC - Rabbit cornea epithelial cell line",,,
Method summary,Native-State Sponge-Gel Histoculture Assay - Summary,0,Eye Irritation,"Animal Origin
Eye & Eye Parts
Human Origin",Cell viability,"Conjunctiva (human)
Conjunctiva (mouse)",,,
Method summary,Neuronal esterases assays as an in vitro screening test for organophosphorus compounds - Summary,0,Neurotoxicity,"Animal Origin
Brain Reaggregates
Cell Lines
Human Origin","Enzyme activity: AcetylCholinEsterase (AChE)
Enzyme activity: Neuropathy Target Esterase (NTE)","Brain cultures (avian)
Brain reaggregate culture (avian)
Neuronal cell lines (human, rat and mice)",,,
Method summary,Neutral Red Release (NRR) Assay - Summary,54,Eye Irritation,"Animal Origin
Cell Lines
Human Origin","Cell viability
Vital dye release: Neutral Red (NRR)","3T3 - Mouse fibroblasts
3T3 L1 - Mouse embryo fibroblast cell line
NHEK - Normal human epidermal keratinocytes
SIRC - Rabbit cornea epithelial cell line",,https://tsar.jrc.ec.europa.eu/test-method/tm2004-03,
Method summary,Neutral Red Uptake (NRU) - Summary,3,Eye Irritation,"Animal Origin
Cell Lines
Human Origin","Cell viability
Vital dye uptake: Neutral Red (NRU)","3T3 - Mouse fibroblasts
HeLa - Human cervix carcinoma cell line
HepG<sub>2</sub> - Human hepatoma cell line
L-929 - Mouse subcutaneous connective tissue cell line
SIRC - Rabbit cornea epithelial cell line
V79 - Chinese hamster fibroblast cell line",,,
Method summary,Oocyte In Vitro Maturation Assay - Summary,129,Effects on the female fertility,"Animal Origin
Human Origin
Primary Cell Culture","Cell development
Cell viability",Oocyte culture,ReProTect,https://tsar.jrc.ec.europa.eu/test-method/tm2010-05,
Method summary,Ovarian Culture - Summary,0,Effects on the female fertility,"Animal Origin
Human Origin","Apoptosis
DNA damage: strand breakage
Folliculogenesis
Gene expression: Microsomal epoxide hydrolase (mEH)
Hormone secretion","Isolated ovaries
Ovarian tissue",,,
Method summary,Parallel Artificial Membrane Permeability Assay (PAMPA) logPm predictor,176,Systemic Toxicity,"(Q)SARs
Mathematical Models (in silico)",Artificial membrane permeability,<em>In silico</em>,SEURAT-1,,
EU project,"EU Integrated Project - ReProTect - Development of a Novel Approach in Hazard and Risk Assessment for Reproductive Toxicity by a Combination and Application of  In Vitro, Tissue and Sensor Technologies.",0,Developmental toxicity,,,,ReProTect,,
EU project,EU Integrated Project - ACuteTox - An  In Vitro Test Strategy for Predicting Human Acute Toxicity,0,Systemic Toxicity,,,,ACuteTox,,
EU project,Research Initiative - SEURAT-1 - Towards the Replacement of In Vivo Repeated Dose Systemic Toxicity Testing,0,Systemic Toxicity,,,,SEURAT-1,,
EU project,EU-ToxRisk “ An Integrated European Flagship™ Programme Driving Mechanism-based Toxicity Testing and Risk Assessment for the 21st century,0,Systemic Toxicity,,,,EuToxRisk,,
Method summary,Perfused Skin Preparations - Summary,70,Percutaneous Absorption,"Animal Origin
Perfused Skin
Viable Skin Explants","Flux (across skin models)
Permeability coefficient
Relative absorption",Skin explants (viable),,,
Protocol,Bovine Isolated Cornea Test,1,Eye Irritation,"Animal Origin
Corneal Models
Eye & Eye Parts","Corneal opacity
Corneal thickness",Cornea (bovine),,,
Method summary,Perfused three-dimensional culture systems ( bioreactors) with liver cells - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Co-cultures
Genetically Engineered Cells
Hepatocytes Reaggregates
Human Origin
Primary Cell Culture
Stem Cells","Gene expression: Cytochrome P450 isoenzymes (CYP450)
Metabolic competence",Perfused three-dimensional culture systems,,,
Protocol,Rabbit Isolated Terminal Ileum,2,Eye Irritation,"Animal Origin
ORGAN & ORGAN PARTS",Ileum contractions,Ileum (rabbit),,,
Method summary,Perfused two-dimensional culture systems ( bioreactors) with liver cells - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Co-cultures
Genetically Engineered Cells
Human Origin
Primary Cell Culture
Stem Cells","Cell viability
Cellular functional parameters
Gene expression: Biomarkers
Gene expression: Cytochrome P450 isoenzymes (CYP450)
Gene expression: Uridine glucuronosyltransferase (UGT or UDPGT)
Metabolic competence
Metabolic effects",Perfused two-dimensional culture systems,,,
Protocol,The FRAME Modified Neutral Red Uptake Cytotoxicity Test,3,Basal Cytotoxicity,"Animal Origin
Cell Lines","Cell viability
Vital dye uptake: Neutral Red (NRU)",3T3 L1 - Mouse embryo fibroblast cell line,,,
Protocol,Model Cavity Method,4,Biocompatibility & Safety of Medical Devices,"Animal Origin
Cell Lines","Cell number
Cell viability","BHK-21/C13 - Syrian hamster kidney epithelial cells
Macrophages (mouse)",,,
Protocol,Isolated Rat Glomeruli and Proximal Tubules,5,Nephrotoxicity,"Animal Origin
Primary Cell Culture","Cell viability
Metabolic effects
Metabolic effects
Protein synthesis","Glomerulus (rat)
Proximal tubular cells (rat)",,,
Protocol,Human Lymphocyte Cytotoxicity Assay,6,Basal Cytotoxicity,"Human Origin
Primary Cell Culture","Cell function: membrane damage
Cell viability
Enzyme leakage: Lactate DeHydrogenase (LDH)
Vital dye reduction: MTT to formazan",Lymphocytes (human),,,
Method summary,Permanent Embryonic Germ Cell Line Assay - Summary,0,Genotoxicity/Mutagenicity,"Animal Origin
Cell Lines","Cell viability
DNA damage: sister chromatid exchange (SCE)","BALB/c 3T3 - Mouse fibroblast cell line
Embryonic germ cell line (mice)",,,
Protocol,The Isolation and Culture of Rat Hepatic Cells,7,Primary cell culture method,"Animal Origin
Primary Cell Culture",,Hepatocytes (rat),,,
Protocol,Allium Test,8,Aquatic Short-Term Toxicity,Plants,"Chromosomal damage: structural aberrations
Root growth",Roots of common onion (<em>Allium Cepa</em>)<em> </em>,,,
Protocol,The Use of Membrane Permeability as a Measure of Cytotoxicity in Perfused Cell Cultures,9,Basal Cytotoxicity,"Animal Origin
Cell Lines
Human Origin",Cell function: membrane damage,"138MG - Human glioma cell line
BRL123 - Rat liver cells
C1300-41A<sub>3</sub> - Mouse neuroblastoma cell line
C1300-N1E115 - Mouse neuroblastoma cell line
L6 - Rat skeletal muscle cell line",,,
Protocol,Reactive Metabolite Formation by Fortified Liver Microsomes,10,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
SUBCELLULAR FRACTION",Glutathione depletion,"Liver microsomes (Guinea-pig)
Liver microsomes (hamster)
Liver microsomes (mouse)
Liver microsomes (rat)",,,
Method summary,Permeability Test using Proptosed Mouse Eyes - Summary,0,Eye Irritation,"Animal Origin
Eye & Eye Parts",Corneal permeability,Eye (mouse),,,
Protocol,Whole Rat Brain Reaggregate Spheroid Culture,11,Neurotoxicity,"Animal Origin
Brain Reaggregates
Cell Lines
Primary Cell Culture","Cell differentiation
Enzyme activity: AcetylCholinEsterase (AChE)
Enzyme activity: Choline AcetylTransferase (ChAT)
Enzyme activity: Glutamate decarboxylase (GAD)
Mediator release: neurotransmitters
Receptor binding: Muscarinic receptor (mAChR)",Brain reaggregate culture (rat),,,
Method summary,Physiologically-Based Kinetic models,161,Systemic Toxicity,Mathematical Models (in silico),"Bioavailability
Dose-response
Physiologically based (<em>pharmaco</em>)kinetic model (PBK)
Time-reponse",,SEURAT-1,,
Protocol,Polymorphonuclear Leucocytes Locomotion,12,Immunotoxicity,"Human Origin
Primary Cell Culture","Cell migration
Chemotaxis
Locomotion inhibition",Leukocytes (polymorphonuclear),,,
Protocol,Hepatoma Cell Cultures as in vitro Models for Hepatotoxicity,13,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Human Origin","Cell number
Cell viability
Colony formation",Hepatoma cell lines (mammalian),,,
Protocol,HEL-30 Cytotoxicity Test,14,Basal Cytotoxicity,"Animal Origin
Cell Lines",Protein synthesis,HEL-30 - Mouse epidermal keratinocyte cell line,,,
Protocol,The FRAME Cytotoxicity Test (KENACID BLUE),15,Basal Cytotoxicity,"Animal Origin
Cell Lines","Cell number
Cell viability
Protein content: total",3T3 L1 - Mouse embryo fibroblast cell line,,,
Protocol,Cytotoxicity and Genotoxicity in Primary Cultures of Human Hepatocytes,16,Genotoxicity/Mutagenicity,"Human Origin
Primary Cell Culture","Cell viability
DNA damage
DNA damage: unscheduled synthesis
Incorporation of radiolabels
Vital dye uptake: Neutral Red (NRU)",Hepatocytes (human),,,
Method summary,Placenta Cells and Explants Cultures - Summary,0,Developmental toxicity,"Cell Lines
Human Origin","Apoptosis
Cell differentiation
Cell migration
Cell viability
Cellular functional parameters
Gene expression profiling (omics techniques)
Generation of Reactive Oxygen Species (ROS)","BeWo - Human choriocarcinoma cell line
Cell line cultures
Human primary cytotrophoblasts
JEG-3 - Transformed human choriocarcinoma cell line
Placenta explants
Rcho-1 - Rat trophoblast stem cell line
SV40-transformed human trophoblast cell lines",ReProTect,,
Protocol,MTT Assay,17,Basal Cytotoxicity,"Animal Origin
Cell Lines
Human Origin","Cell viability
Vital dye reduction: MTT to formazan",Cell line cultures,,,
Protocol,Unscheduled DNA Synthesis in Hepatocyte Cultures Assessed by the Nuclei Procedure,18,Genotoxicity/Mutagenicity,"Animal Origin
Primary Cell Culture","DNA damage
DNA damage: unscheduled synthesis
DNA repair
Incorporation of radiolabels",Hepatocytes (rat),,,
Protocol,Alkaline Unwinding Genotoxicity Test,19,Cell transformation,"Animal Origin
Cell Lines","Cell viability
DNA damage: strand breakage
DNA damage: strand breakage",L5178Y - Mouse lymphoma cell line,,,
Protocol,Isolation of Rat Hepatocytes,20,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Primary Cell Culture","Cell viability
Enzyme leakage: Lactate DeHydrogenase (LDH)",Hepatocytes (rat),,,
Method summary,Placental Perfusion Systems and Related Test Systems - Summary,0,Developmental toxicity,"Animal Origin
Cell Lines
Human Origin","Cellular functional parameters
DNA damage: adduct formation
Enzyme activity: Cytochrome P450 oxidoreductase (CYP)
Gene expression profiling (omics techniques)
Hormone secretion
Metabolic activity
Morphological effects
Tissue accumulation
Transplacental transfer rate
Vascular effects","BeWo - Human choriocarcinoma cell line
Placenta perfused (human)",,,
Protocol,Bovine Spermatozoa Cytotoxicity Test,21,Effects on the male fertility,Animal Origin,"Cell viability
Metabolic effects
Sperm motility",Spermatozoa (bovine),,,
Method summary,Pollen Tube Growth (PTG) Assay - Summary,55,Eye Irritation,"Plants
Primary Cell Culture",Pollen tube growth,Pollen (tobacco),,,
Protocol,Tetrahymena Thermophila Ocular Irritancy Test,22,Eye Irritation,Microorganisms,Protozoa motility,Protozoa (Tetrahymena thermophila),,,
Method summary,Porcine Corneal Opacity Permeability (PCOP) Assay - Summary,0,Eye Irritation,"Animal Origin
Corneal Models
Eye & Eye Parts","Corneal histology
Corneal hydration
Corneal opacity
Corneal permeability
Corneal thickness",Cornea (porcine),,,
Protocol,Rat Hepatocyte Flow Cytometric Cytotoxicity Test,23,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Primary Cell Culture","Apoptosis
Cell proliferation
Chromosomal number: polyploidy
Protein content: total",Primary hepatocytes (mammals),,,
Protocol,Cytoskeletal Alterations as a Parameter for Assessment of Toxicity,24,Basal Cytotoxicity,"Animal Origin
Cell Lines
SUBCELLULAR FRACTION",Cell function: cytoskeleton,CHO - Chinese hamster ovary cell line,,,
Protocol,Laser Diffraction Measurement of Tumour Spheroids,25,Basal Cytotoxicity,"Cell Lines
Human Origin
Tumour Cells Reaggregates","Cell morphology
Cell viability","354 - Human lung tumor cell line
406 - Human lung tumor cell line
612 - Human cervix tumor cell line
754 - Human cervix tumor cell line
HCCO - Human colorectal caner cell line
HT29 - Human colorectal cancer cell line",,,
Protocol,The Zein Test,26,Skin Irritation and Corrosivity,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Zein solubility,Zein (corn protein),,,
Protocol,Human Skin Fibroblast/Collagen Lattice Cytotoxicity Test,27,Skin Irritation and Corrosivity,"Cell Lines
Human Origin
Lattice Culture of Skin Fibroblasts","Cell viability
Collagen lattice contraction",Fibroblasts (human),,,
Protocol,Human Oesophageal Culture,28,Digestive System Toxicity,"Human Origin
Primary Cell Culture",Cell viability,Oesophageal mucosa (human),,,
Protocol,Human Thyroid Culture,29,Effects on Endocrine System,"Human Origin
Primary Cell Culture","Cell morphology
Cell proliferation
Iodine trapping ability
Mediator release: thyroxine (T<sub>4</sub>)",Thyroid Cells (human),,,
Method summary,Post-implantation Whole Embryo Cultures (WEC) - Summary,68,Developmental toxicity,EMBRYO CULTURE,"Apoptosis
Cell cycle analysis
Cell viability
Cellular functional parameters
Embryo development
Embryo growth
Embryo viability
Gene expression profiling (omics techniques)
Gene expression: Biomarkers
Gene mutation
Generation of Reactive Oxygen Species (ROS)
Heart functional parameters","Post-implantation whole embryo culture (rat, mouse, hamster, rabbit)",,,
Protocol,The Ames Test (with S. typhimurium),30,Genotoxicity/Mutagenicity,Microorganisms,"DNA damage
Gene mutation
Gene mutation: frame-shift
Gene mutation: reverse mutation
Gene mutation: substitution",Salmonella typhimurium,,,
Method summary,PPARγ full agonists’ pharmacophore-based predictor,168,Systemic Toxicity,Mathematical Models (in silico),"Receptor binding: Peroxisome proliferator-activated receptor gamma 1 (PPAR&#947;1)
Receptor binding: Peroxisome proliferator-activated receptor gamma 2 (PPAR&#947;2)",<em>In silico</em>,SEURAT-1,,
Protocol,Agarose Overlay Assay,31,Eye Irritation,"Animal Origin
Cell Lines","Cell viability
Vital dye reduction: MTT to formazan
Vital dye release: Neutral Red (NRR)",L-929 - Mouse subcutaneous connective tissue cell line,,,
Protocol,Dust Toxicity in Rat Alveolar Macrophage Cultures,32,Respiratory Tract Toxicity,"Animal Origin
Primary Cell Culture","Cell function: membrane damage
Cell viability
Enzyme leakage: Lactate DeHydrogenase (LDH)",Macrophages (rat),,,
Protocol,Yeast Growth Rate Cytotoxicity Test,33,Basal Cytotoxicity,Microorganisms,Cell proliferation,Saccharomyces Cerevisiae,,,
Protocol,Yeast Plasma Membrane H+-ATPase Toxicity Test,34,Basal Cytotoxicity,"Microorganisms
SUBCELLULAR FRACTION","Cell function: membrane damage
Cell viability
Enzyme activity",Saccharomyces Cerevisiae,,,
Protocol,Chinese Hamster Ovary Cell NA+/K+-ATPase Test,35,Basal Cytotoxicity,"Animal Origin
Primary Cell Culture
SUBCELLULAR FRACTION","Cell function: membrane damage
Enzyme activity",CHO - Chinese hamster ovary cell line,,,
Protocol,Chinese Hamster Ovary (CHO) Cell Proliferation Test,36,Basal Cytotoxicity,"Animal Origin
Cell Lines",Cell proliferation,CHO - Chinese hamster ovary cell line,,,
Method summary,PPARγ full agonists’ potency predictor,175,Systemic Toxicity,(Q)SARs,Receptor activity: Peroxisome proliferator-activated receptor gamma (PPAR<em>&#947;)</em>,<em>In silico</em>,SEURAT-1,,
Protocol,Red Blood Cell (RBC) Test System,37,Eye Irritation,"Animal Origin
Primary Cell Culture","Haemolysis
Protein denaturation",Erythrocytes (mammalian),,https://tsar.jrc.ec.europa.eu/test-method/tm2004-04,
Method summary,Pre-implantation embryo cultures - Summary,0,Developmental toxicity,"Animal Origin
EMBRYO CULTURE","Apoptosis
Cell adhesion
Cell function: cytoskeleton
Cell number
Cell proliferation
Cellular functional parameters
Chromosomal damage: micronuclei formation
Chromosomal damage: micronuclei formation
DNA damage: sister chromatid exchange (SCE)
DNA damage: strand breakage
DNA damage: strand breakage
Embryo development
Embryo morphology
Gene expression profiling (omics techniques)
Gene expression: Biomarkers
Generation of Reactive Oxygen Species (ROS)
Protein synthesis",Pre-implantation whole embryo culture,ReProTect,,
Protocol,LS-L929 Cytotoxicity Test,38,Basal Cytotoxicity,"Animal Origin
Cell Lines","Cell viability
Ethidium bromide uptake
Vital dye uptake: Fluorescein diacetate (FDA)",L-929 - Mouse subcutaneous connective tissue cell line,,,
Protocol,V79 Cytotoxicity Test for Membrane Damage,39,Basal Cytotoxicity,"Animal Origin
Cell Lines","Cell function: membrane damage
Nucleic acid leakage",V79 - Chinese hamster fibroblast cell line,,,
Protocol,SIRC Cytotoxicity Test,40,Eye Irritation,"Animal Origin
Cell Lines","Cell viability
Vital dye uptake: Neutral Red (NRU)",SIRC - Rabbit cornea epithelial cell line,,,
Protocol,Rabbit articular chondrocyte functional toxicity test,41,Developmental toxicity,Animal Origin,Cellular functional parameters,Primary culture of articular chondrocytes (rabbit),,,
Method summary,Preparation of precision-cut liver slices - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Liver slices",,"Hand-cut liver slices
Precision-cut liver slices",,,
Protocol,Liver Slice Hepatotoxicity Screening System,42,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Liver slices","Enzyme leakage: ALanine aminoTransferase (ALT)
Enzyme leakage: Lactate DeHydrogenase (LDH)","Hand-cut liver slices
Liver slices (mouse)
Liver slices (rat)",,,
Protocol,Colorimetric Cytotoxicity Assays for Anchorage Dependent Cells,43,Drug Discovery and Activity Testing,"Animal Origin
Cell Lines","Cell viability
Vital dye reduction: MTT to formazan
Vital dye uptake: Methylene blue","HT-1080 - Human fibrosarcoma cell line
LoVo - Human colorectal adenocarcinoma cell line
V79 - Chinese hamster fibroblast cell line",,,
Protocol,Cell Culture Phototoxicity Test,44,Phototoxicity,"Animal Origin
Cell Lines
Human Origin","Cell viability
Vital dye reduction: MTT to formazan","3T3 - Mouse fibroblasts
A431 - Human epidermal cell line",,,
Protocol,"The Dunaliella tertiolecta Test, a Marine Algal Assay Procedure",45,Aquatic Short-Term Toxicity,Microorganisms,Alga growth,Green algae (<em>Dunaliella tertiolecta)<br /></em>,,,
Protocol,BALB/c 3T3 Neutral Red Uptake (NRU) Cytotoxicity Test,46,Eye Irritation,"Animal Origin
Cell Lines","Cell viability
Protein content: total
Vital dye uptake: Neutral Red (NRU)",BALB/c 3T3 - Mouse fibroblast cell line,,,
Protocol,HET-CAM Test,47,Eye Irritation,"Animal Origin
IN OVO METHODS","Blood coagulation: intravascular and extravasular
Blood vessel lysis
Haemorrhage",Chorioallantoic Membrane (CAM) (chicken egg),,,
Protocol,Lung Cell Assay,48,Developmental toxicity,"Animal Origin
Cell Lines
Human Origin","DNA synthesis
Incorporation of radiolabels
Protein synthesis","HFL1 - Human fatal lung fibroblasts cell line
L2 - Rat lung ephitelial cell line",,,
Protocol,H-4-II-E Rat Hepatoma Cell Bioassay,49,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines","Enzyme activity: Aryl Hydrocarbon Hydroxylase (AHH)
Enzyme activity: EthoxyResorufin O-Deethylase (EROD)
Enzyme activity: EthoxyResorufin O-Deethylase (EROD)",H-4-II-E - Rat hepatoma cell line,,,
Protocol,HEp-2 Cytotoxicity Test For Implant Materials,50,Biocompatibility & Safety of Medical Devices,"Animal Origin
Cell Lines","Cell morphology
Cell number
Cell proliferation","HEp2 - Human larynx epidermoid carcinoma cell line
HEp2 - Human larynx epidermoid carcinoma cell line",,,
Protocol,LLC-RK1 Cell Screening Test for Nephrotoxicity,51,Nephrotoxicity,"Animal Origin
Cell Lines","Cell viability
Vital dye uptake: Neutral Red (NRU)",LLC-RK1 - Rabbit kidney cell line,,,
Protocol,Quantitative Video Microscopy of Intracellular Motion and Mitochondria-Specific Flourescence,52,Basal Cytotoxicity,"Animal Origin
Cell Lines
Human Origin","Cell function: organelle dynamics
Cell morphology
Cell number
Cell viability","IMR-90 - Human fibroblast cell line
L-929 - Mouse subcutaneous connective tissue cell line",,,
